123.242.248.130,1437570028019,190527,26
1.23.142.123,1437580759040,32994,2
203.134.223.36,1437580639561,158067,7
117.222.219.97,1437580599200,3482,2
106.66.107.194,1437580581701,50752,3
101.212.71.90,1437580532705,14932,3
117.247.232.42,1437613824913,1660,1
14.96.152.184,1437613824956,2376,3
183.83.4.22,1437613823202,1337,2
14.140.105.46,1437613822989,2699,2
41.103.24.57,1437613821302,5544,2
123.136.211.29,1437613820917,3348,3
59.182.215.21,1437613820873,5682,2
122.160.79.97,1437613820539,7438,3
27.7.244.219,1437613820193,2695,2
117.207.83.118,1437613820106,2160,4
112.196.175.71,1437613819325,6608,9
182.74.217.194,1437613818891,1158,1
106.67.20.208,1437613817871,7783,9
49.204.216.203,1437613817718,2385,5
121.244.33.78,1437613817666,3283,2
27.7.193.123,1437613817058,4548,1
59.178.168.89,1437613815320,12200,54
203.99.198.151,1437613814649,6163,3
120.56.130.126,1437613813893,1927,2
106.51.133.123,1437613813194,7517,84
101.60.193.43,1437613813010,10871,3
116.203.75.202,1437613812999,3707,2
61.12.78.83,1437613812157,2316,2
171.50.119.23,1437613811061,8009,3
182.64.163.73,1437613809975,6891,2
168.87.3.33,1437613809849,3872,2
27.34.252.234,1437613808799,13221,4
117.253.194.28,1437613807997,1179,2
207.244.77.21,1437613807828,20165,6
120.59.107.207,1437613806740,8389,3
122.180.249.86,1437613806319,3089,2
182.73.169.98,1437613804550,7225,2
202.38.180.125,1437613804290,3936,2
182.68.136.65,1437613804227,3896,3
183.83.14.101,1437613804100,9339,6
103.228.40.203,1437613803752,1437,2
27.6.16.191,1437613802376,24906,6
115.252.161.136,1437613801272,6292,3
85.17.156.76,1437613801199,1065,2
43.247.159.39,1437613800840,5622,6
115.99.19.202,1437613800441,2380,3
124.40.246.77,1437613800217,21875,6
219.91.221.45,1437613800180,8533,3
180.188.247.75,1437613799202,13120,5
115.118.22.237,1437613798607,3736,2
182.18.177.218,1437613798590,2047,2
125.17.117.227,1437613798023,29847,9
27.97.110.103,1437613797962,14518,3
182.72.26.34,1437613797426,8857,2
27.61.182.204,1437613796518,11110,3
183.82.96.189,1437613795756,1390,3
202.142.70.59,1437613795060,17887,3
14.139.243.10,1437613794647,8933,2
122.166.211.18,1437613794309,3910,1
14.139.123.63,1437613794119,5464,2
165.225.96.59,1437613792916,2857,2
202.142.120.147,1437613792867,3649,2
1.39.34.149,1437613792441,5480,2
203.88.23.43,1437613792211,8441,3
43.251.215.79,1437613790836,12198,2
117.226.156.82,1437613790505,15099,3
182.69.37.179,1437613790209,26214,7
49.206.243.39,1437613789960,36420,7
1.186.48.172,1437613789935,5894,2
180.215.128.50,1437613789287,34659,5
182.73.97.162,1437613788317,29104,4
101.221.130.49,1437613788235,29755,5
106.51.183.103,1437613788110,3206,2
117.223.0.252,1437613787441,23728,3
183.82.107.104,1437613787047,18579,5
117.194.126.78,1437613786942,8852,2
1.39.13.146,1437613786923,7632,3
27.106.114.137,1437613786764,24845,3
1.39.35.111,1437613786113,22397,3
60.243.219.89,1437613785580,17932,4
106.67.81.17,1437613785320,1940,2
49.203.228.170,1437613783734,23661,2
203.78.4.10,1437613782331,27723,6
117.208.6.246,1437613782304,42253,3
117.253.206.92,1437613782278,4170,1
223.179.63.145,1437613782219,38839,2
120.60.13.81,1437613782150,3569,2
182.75.58.146,1437613781983,35552,22
123.201.21.179,1437613781731,45365,8
115.248.114.51,1437613781337,16180,4
120.56.219.52,1437613780930,15391,2
8.37.225.43,1437613780795,21014,2
128.185.109.59,1437613780600,1719,2
103.233.117.163,1437613780447,1411,2
122.167.230.154,1437613779057,26682,2
14.98.109.183,1437613779052,11049,2
59.97.249.40,1437613778864,13218,2
106.67.72.100,1437613778689,2568,2
180.215.42.139,1437613778383,22380,12
182.74.141.170,1437613778112,46002,2
117.206.171.41,1437613777823,1644,2
101.62.178.247,1437613777419,25471,2
120.56.176.198,1437613776240,10218,3
182.66.34.41,1437613776214,30539,4
101.63.186.253,1437613775689,21334,3
65.223.61.122,1437613775395,30998,7
101.59.88.40,1437613775256,51520,6
43.245.149.166,1437613774723,53121,8
223.176.166.254,1437613774422,3583,2
103.5.132.55,1437613773717,7781,2
125.19.44.195,1437613773541,2656,3
27.97.252.75,1437613773377,17898,1
121.241.234.75,1437613773127,17916,87
15.211.153.76,1437613772541,5144,5
202.83.33.170,1437613772133,11818,3
1.38.16.127,1437613771382,11800,3
122.161.17.197,1437613770635,18718,2
117.253.214.127,1437613768886,28211,2
1.39.32.89,1437613768228,12622,4
223.189.7.53,1437613767172,29009,3
223.29.192.1,1437613766759,60065,1
183.82.100.156,1437613766286,26337,4
103.16.176.215,1437613766122,60476,9
123.63.205.77,1437613765468,11879,3
117.239.35.226,1437613765210,34972,5
115.113.220.51,1437613764985,31832,42
182.72.147.246,1437613764021,48664,17
122.171.176.168,1437613762759,44389,13
1.39.96.42,1437613762031,54445,4
107.167.107.100,1437613761910,63405,3
115.245.188.224,1437613761559,29120,3
203.91.213.69,1437613760824,1619,2
103.12.133.160,1437613760743,1707,2
182.68.8.8,1437613760297,11255,3
117.253.223.152,1437613759199,30054,2
123.136.225.126,1437613759107,5741,3
123.201.181.70,1437613758533,44769,7
49.205.232.135,1437613757471,2397,2
106.51.135.140,1437613757292,56231,8
1.186.135.254,1437613756996,54977,5
182.19.60.229,1437613756292,20659,3
37.228.104.10,1437613756135,51458,4
1.39.80.35,1437613755188,4921,3
182.71.176.166,1437613755030,19435,3
59.90.98.54,1437613753889,60600,7
117.229.79.23,1437613753462,4640,3
150.129.128.93,1437613753282,1257,3
49.206.128.252,1437613753058,18012,3
164.164.40.4,1437613752667,1509,2
107.167.108.12,1437613752283,26148,3
168.235.195.200,1437613751823,2462,2
59.95.140.255,1437613751343,4958,5
117.243.181.251,1437613750914,34255,3
122.183.223.42,1437613750542,8764,3
202.65.159.10,1437613750183,11094,4
123.63.222.37,1437613749842,73803,10
106.76.15.41,1437613749831,45999,2
14.141.1.58,1437613749650,47974,4
49.202.62.252,1437613749380,3860,2
180.151.103.26,1437613749217,5532,3
117.253.216.43,1437613749212,2385,1
117.195.247.178,1437613749055,7352,3
117.253.209.216,1437613748931,40565,2
